Lemma	PoS	Freq(ipm)	R	D	Doc
алхимия	s	1.2	49	78	66
алыча	s	0.8	29	77	31
альбатрос	s	1.2	25	61	38
альбинос	s	0.7	36	76	40
альбом	s	23.7	99	93	824
альвеола	s	0.5	13	47	15
альдегид	s	1.7	11	14	17
альманах	s	4.7	81	89	211
альпинист	s	4.3	71	86	162
альт	s	5.0	54	52	91
алюминий	s	10.9	88	88	458
амальгама	s	0.5	31	79	35
амбал	s	2.1	47	71	77
амбар	s	4.9	80	85	175
амбразура	s	2.3	66	82	134
амброзия	s	0.5	26	80	29
амеба	s	0.8	45	85	56
аметист	s	1.3	27	49	33
аммиак	s	2.8	51	57	79
аммоний	s	1.5	26	48	45
амнезия	s	0.8	39	82	59
ампер	s	2.2	21	32	25
ампир	s	2.1	56	79	106
ампула	s	3.7	75	87	146
ампутация	s	1.2	54	85	78
амулет	s	3.7	63	72	96
амуниция	s	1.7	71	90	122
амфибия	s	0.7	31	81	45
амфитеатр	s	1.8	63	87	105
амфора	s	1.4	56	84	81
анабиоз	s	1.3	35	52	43
анаконда	s	0.4	24	80	28
аналитик	s	18.1	82	88	1052
аналог	s	15.9	87	90	1085
анальгин	s	1.1	47	84	63
ананас	s	3.6	83	90	185
анархист	s	2.7	72	88	131
анархия	s	2.7	79	89	171
анатом	s	0.6	24	60	29
анатомия	s	4.9	93	73	216
анаша	s	1.1	39	80	56
ангар	s	3.5	74	81	146
ангел	s	32.4	99	91	972
ангина	s	2.7	74	89	158
анемия	s	1.0	37	80	56
анестезия	s	1.7	56	79	84
аниматор	s	0.4	13	58	15
анимация	s	1.4	36	68	62
анион	s	0.7	13	55	30
анис	s	0.5	26	79	33
анкета	s	14.4	100	94	628
анклав	s	1.2	43	82	80
аннексия	s	0.5	24	74	29
аннотация	s	1.9	65	88	131
анод	s	1.2	22	72	32
аномалия	s	6.9	75	79	262
ансамбль	s	21.7	97	89	843
антенна	s	8.5	95	92	375
антиген	s	9.7	24	65	195
антигерой	s	0.4	22	77	28
антиквар	s	1.5	43	68	59
антилопа	s	1.2	41	81	64
антипод	s	2.4	75	90	165
антисемит	s	4.7	75	85	184
антитело	s	23.6	37	65	273
антифриз	s	0.5	20	71	25
антихрист	s	2.7	65	84	119
антоновка	s	1.0	38	69	44
антрацит	s	0.7	39	83	48
антресоли	s	2.3	69	89	130
анус	s	0.6	18	67	25
анчоус	s	0.6	24	70	28
аорта	s	2.2	47	53	61
апартеид	s	0.8	30	72	37
апатит	s	1.5	35	70	65
апельсин	s	7.6	97	93	401
аперитив	s	1.0	43	83	59
апокриф	s	1.3	42	73	56
апоптоз	s	0.8	11	53	17
апостол	s	21.8	91	59	618
апофеоз	s	3.3	82	90	218
аппарат	s	88.2	100	94	2961
аппендикс	s	1.0	47	84	66
аппетит	s	15.3	99	96	841
апрель	s	86.2	100	92	3469
аптека	s	15.1	98	90	626
аптекарь	s	1.6	57	84	80
аптечка	s	3.1	72	88	164
араб	s	13.3	94	85	393
арахис	s	0.7	28	73	37
арбалет	s	1.2	35	60	41
арбуз	s	9.1	90	89	315
аргон	s	0.9	23	69	40
аргумент	s	28.5	100	94	1497
ареал	s	3.7	59	69	152
арена	s	13.5	96	92	706
аренда	s	27.5	93	86	1064
арендатор	s	8.1	65	75	220
арест	s	46.5	97	89	1188
арестант	s	5.8	70	68	157
ариец	s	1.1	46	79	57
ария	s	6.7	83	85	262
арка	s	12.9	97	90	507
аркада	s	0.7	33	80	37
аркан	s	3.1	57	69	92
арлекин	s	1.0	39	80	52
армада	s	1.3	49	77	74
арматура	s	4.5	81	76	217
армия	s	186.4	100	92	3483
аромат	s	22.9	99	94	923
арсенал	s	12.7	95	82	636
артель	s	6.2	89	89	277
артельщик	s	0.7	20	56	24
артерия	s	8.6	87	41	217
артефакт	s	1.1	38	79	58
артист	s	98.0	99	88	1672
артистка	s	11.6	88	88	384
архангел	s	3.0	73	84	136
археолог	s	5.6	86	84	233
архетип	s	2.6	52	73	106
архив	s	35.3	100	93	1130
архиерей	s	5.3	72	75	183
архипелаг	s	5.7	74	76	177
асана	s	1.1	13	45	13
асбест	s	1.2	24	42	30
аскеза	s	0.8	38	79	48
аскет	s	1.6	57	84	100
аспид	s	0.7	18	42	22
аспирант	s	8.3	91	90	374
аспирин	s	2.6	70	87	132
ассамблея	s	5.2	71	85	249
ассасин	s	0.4	6	14	6
ассистент	s	8.4	92	88	295
ассорти	s	0.7	31	78	44
астероид	s	1.5	42	78	57
астма	s	2.8	79	90	184
астматик	s	0.5	25	68	30
астра	s	3.8	79	65	151
астрал	s	0.6	22	68	25
астролог	s	3.4	63	81	118
астронавт	s	1.7	36	73	56
астроном	s	6.2	74	81	167
асфальт	s	29.1	96	92	1079
аська	s	2.0	18	59	41
атака	s	42.7	100	92	1461
атаман	s	5.8	84	87	176
атеист	s	4.6	87	90	265
ателье	s	4.1	85	89	225
атлант	s	1.7	47	77	76
атлас	s	5.8	86	81	238
атлет	s	2.5	74	88	151
атлетика	s	2.3	59	84	128
атмосфера	s	56.4	100	93	2293
атолл	s	0.8	31	76	38
атом	s	20.5	90	74	442
атомоход	s	0.9	25	59	37
атомщик	s	0.9	30	75	41
атрибут	s	10.9	97	90	637
атрибуция	s	0.6	19	70	28
атриум	s	0.4	21	76	25
атрофия	s	0.5	28	81	35
атташе	s	3.0	57	77	119
аттестат	s	5.2	91	90	279
аттитюд	s	3.4	5	2	5
аттрактор	s	0.8	9	32	13
аудиенция	s	2.2	74	90	135
аудит	s	3.7	58	84	185
аудитор	s	4.5	56	82	169
аудитория	s	31.9	100	93	1300
ауксин	s	0.7	4	12	5
аукцион	s	17.0	87	86	624
аура	s	5.1	80	69	217
аутодафе	s	0.4	30	82	36
аутсайдер	s	2.1	62	88	156
афганец	s	3.4	66	78	130
афера	s	3.5	79	89	190
аферист	s	2.0	66	86	113
аферистка	s	0.4	16	68	18
афиша	s	11.0	90	92	525
афишка	s	0.5	22	72	25
африканец	s	2.6	70	73	119
аффект	s	1.9	64	87	104
ахилл	s	0.8	33	74	40
ахинея	s	1.7	67	89	122
ацетат	s	1.6	12	37	18
ацетон	s	1.9	47	81	81
ацикловир	s	0.7	10	62	13
ацтек	s	0.8	35	76	41
ашрам	s	0.6	12	51	14
аэрация	s	0.4	19	72	25
аэробика	s	1.7	53	81	85
аэробус	s	0.5	25	77	30
аэродром	s	20.0	97	91	658
аэрозоль	s	2.0	49	79	92
аэроклуб	s	1.2	26	63	34
аэроплан	s	2.2	63	87	107
аэропорт	s	37.2	99	93	1182
аэростат	s	2.1	53	70	69
аятолла	s	0.6	24	76	34
баба	s	81.2	98	90	1413
бабай	s	1.0	24	50	26
бабенка	s	2.3	53	86	120
бабетта	s	0.4	14	64	16
бабища	s	0.5	29	81	34
бабка	s	42.0	95	88	872
бабник	s	2.5	65	85	141
бабонька	s	0.6	25	77	38
бабочка	s	21.3	99	90	692
бабулька	s	1.4	44	81	76
бабуля	s	4.5	69	82	177
бабуся	s	3.5	45	67	76
бабушка	s	101.8	100	92	1927
баварец	s	0.4	31	83	38
багаж	s	12.0	98	87	538
багажник	s	10.3	93	92	471
багет	s	0.8	33	76	43
багор	s	1.7	50	81	72
багульник	s	0.5	22	73	25
бадминтон	s	0.6	33	82	45
бадья	s	1.8	45	68	58
база	s	146.7	100	91	5150
базальт	s	1.2	35	77	50
базар	s	22.6	99	90	782
базарчик	s	0.5	25	79	28
базилик	s	0.6	27	78	32
базилика	s	1.2	40	71	51
базис	s	3.7	63	80	175
байда	s	0.6	29	79	39
байдара	s	0.5	7	22	7
байдарка	s	1.5	49	77	71
байка	s	6.0	91	92	355
байкер	s	1.0	29	65	39
байт	s	1.0	19	59	28
бакалавр	s	1.5	54	80	81
бакен	s	1.5	28	61	39
бакинец	s	1.4	26	58	31
баклажан	s	4.0	61	71	108
баклан	s	0.9	31	75	40
баклуша	s	1.0	27	42	37
бакс	s	10.1	88	86	302
бактерия	s	7.5	84	83	316
балаболка	s	0.5	27	76	34
балаган	s	3.1	80	90	167
балагур	s	0.9	49	87	71
балалайка	s	2.6	75	89	152
баланда	s	2.7	62	78	104
баланс	s	27.8	98	89	1362
балахон	s	2.2	61	88	123
балбес	s	1.7	57	83	103
балда	s	2.5	65	83	154
балдахин	s	0.9	45	86	63
балерина	s	8.1	86	89	297
балет	s	21.4	92	88	606
балка	s	9.9	97	89	382
балкон	s	28.2	100	93	915
балкончик	s	1.4	52	85	81
балл	s	13.1	95	90	462
баллада	s	5.1	80	86	217
балласт	s	1.8	71	90	131
баллон	s	6.2	85	86	232
баллончик	s	1.4	57	88	88
баловень	s	1.7	68	89	124
баловство	s	2.2	66	88	149
балык	s	0.7	37	84	48
бальзам	s	3.0	69	84	149
бальзамин	s	0.5	15	62	19
балясина	s	0.7	35	73	43
бамбук	s	2.6	75	88	142
бампер	s	3.7	80	90	227
банан	s	7.3	95	91	325
банда	s	15.3	92	91	562
бандаж	s	0.5	23	76	28
бандероль	s	3.3	67	55	106
банджо	s	0.4	16	69	18
бандит	s	42.8	98	90	1119
бандура	s	0.5	24	74	27
бандюга	s	1.0	40	82	63
бандюк	s	0.5	23	73	29
банк	s	178.1	100	91	3259
банка	s	49.0	100	89	1550
банкет	s	11.5	92	92	424
банкетка	s	0.5	32	81	38
банкир	s	13.1	94	87	526
банкнот	s	0.5	31	75	35
банкнота	s	3.2	71	83	130
банкомат	s	2.2	39	75	82
банкрот	s	3.7	70	87	195
баннер	s	1.2	31	58	49
баночка	s	7.2	90	92	382
бант	s	5.2	78	90	257
бантик	s	3.3	82	90	201
банщик	s	0.7	35	82	41
банька	s	3.7	76	87	194
баня	s	38.5	99	93	1039
баобаб	s	0.5	31	78	35
баптист	s	1.3	37	75	48
барабан	s	15.7	99	91	593
барак	s	25.3	95	87	471
баран	s	8.9	97	87	396
баранина	s	4.3	75	82	152
баранка	s	4.1	81	91	239
барахло	s	5.5	84	90	302
барахолка	s	1.6	57	86	95
барашек	s	2.6	79	89	158
барбарис	s	2.1	43	57	69
барбекю	s	1.2	36	74	63
барбос	s	0.7	33	78	43
бард	s	3.3	66	80	151
бардак	s	4.4	83	91	260
бардачок	s	1.9	63	86	111
барельеф	s	2.3	74	90	137
баржа	s	8.0	86	84	246
барий	s	0.5	22	71	30
барин	s	7.4	92	89	308
баритон	s	5.5	85	89	264
барк	s	0.5	22	69	26
барка	s	0.7	25	69	33
баркан	s	0.4	4	36	4
баркас	s	1.1	37	61	45
бармен	s	6.3	78	80	187
барменша	s	0.9	23	67	32
барокко	s	2.7	65	75	129
барометр	s	1.8	61	82	102
барон	s	25.4	94	75	365
баронесса	s	4.9	50	64	79
барракуда	s	0.5	15	46	16
баррель	s	4.7	46	84	198
баррикада	s	5.1	87	90	274
барс	s	3.9	62	76	125
барство	s	0.5	30	82	34
барсук	s	1.4	35	74	55
бартер	s	1.5	56	86	97
бархан	s	1.1	38	80	59
бархат	s	5.4	90	91	289
бархатцы	s	0.5	26	76	38
бархотка	s	0.5	23	72	27
барчук	s	0.4	24	77	28
барщина	s	0.4	25	80	28
барыга	s	1.0	37	79	49
барыня	s	3.6	73	85	160
барыш	s	1.3	54	87	88
барышня	s	13.1	94	90	483
барьер	s	22.3	100	93	1127
баск	s	1.3	53	83	84
баскет	s	0.7	16	31	16
баскетбол	s	4.8	67	86	202
басмач	s	0.6	32	78	36
басня	s	3.6	82	91	212
басок	s	0.7	33	81	49
бассейн	s	33.4	99	92	1162
бастион	s	3.7	79	69	153
бастующий	s	0.4	23	79	33
басурман	s	0.4	26	81	29
баталия	s	3.9	83	91	302
батальон	s	23.0	91	88	501
батарейка	s	3.8	82	88	224
батарея	s	28.7	99	87	753
батенька	s	1.8	56	85	100
батискаф	s	0.5	14	33	15
батист	s	0.7	38	82	48
батог	s	0.8	26	77	35
батожок	s	0.4	12	65	13
батон	s	5.3	89	85	229
батоно	s	0.5	18	66	20
батончик	s	0.6	39	74	44
батрак	s	1.3	47	80	66
батут	s	0.5	30	75	37
батыр	s	0.4	19	71	23
батька	s	4.2	65	80	140
батюшка	s	18.9	96	83	448
батя	s	4.6	64	84	167
батяня	s	0.5	12	50	12
баул	s	2.6	58	82	108
бахилы	s	0.7	29	74	37
бахрома	s	2.6	71	90	168
бахча	s	0.6	24	65	29
бацилла	s	1.2	56	86	75
бачки	s	0.5	27	78	34
бачок	s	3.8	78	89	199
башенка	s	3.8	84	82	182
башибузук	s	0.4	7	40	7
башка	s	13.8	85	89	516
башкир	s	1.9	39	77	56
башли	s	0.5	24	73	28
башлык	s	0.7	25	74	32
башмак	s	7.8	92	91	355
башмачок	s	0.9	37	82	55
башня	s	39.4	100	92	1124
баштан	s	0.4	9	47	10
баядерка	s	0.4	15	63	19
баян	s	4.7	77	83	197
баянист	s	1.2	42	72	56
бдение	s	2.7	83	91	190
бега	s	4.4	86	86	252
бегемот	s	3.0	74	87	159
беглец	s	6.3	86	87	270
беглость	s	0.5	20	72	24
беглянка	s	0.5	23	75	29
бегония	s	0.6	25	77	37
беготня	s	2.7	78	91	196
бегство	s	11.1	96	94	557
бегун	s	2.4	68	87	125
беда	s	74.4	100	96	2589
бедлам	s	1.1	47	85	77
бедность	s	18.5	99	94	945
беднота	s	1.3	55	86	83
бедняга	s	8.2	92	90	446
бедняжка	s	2.7	73	90	186
бедняк	s	3.7	87	90	220
бедолага	s	4.3	85	91	275
бедро	s	24.3	98	92	771
бедствие	s	13.3	98	93	784
бедуин	s	0.8	41	83	49
беженец	s	16.5	95	86	559
беженка	s	0.6	37	79	45
без	pr	1018.8	100	98	16550
безбожие	s	0.9	35	73	64
безбожник	s	1.8	61	81	111
безбрачие	s	0.6	26	75	33
безверие	s	1.0	50	87	69
безветрие	s	1.1	41	84	77
безволие	s	1.0	48	86	69
бездарь	s	1.3	53	86	85
безделица	s	0.6	40	83	47
безделье	s	4.5	89	92	283
бездна	s	16.0	97	94	671
бездомный	s	1.1	44	83	68
бездумье	s	0.4	19	56	21
бездушие	s	0.6	39	84	48
безлюдье	s	1.6	63	89	114
безмолвие	s	3.7	83	87	233
безнадега	s	0.7	38	81	45
безо	pr	10.0	94	93	505
безрыбье	s	0.4	32	84	38
безумец	s	4.4	89	91	249
безумие	s	15.1	96	93	692
безумная	s	0.4	22	77	28
безумство	s	2.1	72	89	135
бейсбол	s	0.8	35	75	41
бейсболка	s	1.1	48	85	73
бекеша	s	0.4	13	61	14
бекон	s	1.1	52	86	74
беленькая	s	0.4	17	69	19
белиберда	s	1.1	52	87	82
белизна	s	5.9	88	90	340
белила	s	0.9	46	85	59
белка	s	11.6	98	89	531
белок	s	40.3	96	75	742
белорус	s	3.8	79	88	209
белоручка	s	0.4	29	82	33
белочка	s	1.2	47	81	67
белуга	s	0.8	43	81	49
белый	s	5.9	81	80	185
бельведер	s	0.4	21	75	22
бельгиец	s	1.7	59	86	108
белье	s	34.1	100	94	1169
бельишко	s	0.8	38	82	51
бельмес	s	0.4	23	78	29
бельмо	s	1.4	50	85	96
бельэтаж	s	0.9	39	81	54
беляк	s	0.7	27	71	33
бенефис	s	1.3	46	84	78
бензин	s	22.0	99	93	963
бензобак	s	1.7	59	79	92
бензовоз	s	0.7	25	72	34
бензол	s	1.3	20	45	29
бензопила	s	1.3	45	71	55
берданка	s	0.7	33	78	43
берег	s	164.7	100	94	2868
берегиня	s	0.5	12	36	13
бережок	s	1.6	60	86	106
береза	s	20.3	99	91	706
березка	s	7.1	95	91	349
березняк	s	1.9	60	82	92
берендей	s	1.7	17	34	17
бересклет	s	0.6	27	79	42
береста	s	2.8	53	83	103
берет	s	4.8	82	91	255
беретик	s	0.5	22	76	28
беретка	s	0.4	22	78	24
бериллий	s	0.8	16	32	19
беркут	s	1.2	36	73	51
берлинец	s	0.4	21	76	25
берлога	s	3.1	76	89	190
берсерк	s	0.7	13	37	15
беседа	s	87.5	100	95	2640
беседка	s	8.0	98	91	327
бесенок	s	0.8	36	81	50
бесплодие	s	2.8	65	76	106
бесправие	s	1.7	60	86	115
беспредел	s	5.2	83	91	315
бессилие	s	8.1	97	93	480
бестия	s	1.4	54	83	85
бестолочь	s	1.1	36	75	58
бесценок	s	2.2	76	90	166
бесчестие	s	0.5	32	82	45
бесчестье	s	0.6	32	80	41
бета	s	0.5	18	56	21
бетон	s	11.3	94	89	482
бетонка	s	1.6	34	74	43
бечевка	s	1.7	57	86	102
бешенство	s	11.6	93	85	428
бзик	s	0.5	29	78	35
биатлон	s	1.3	26	70	38
библиофил	s	0.5	34	82	42
библия	s	13.7	97	89	544
бивак	s	0.6	21	72	29
бивень	s	1.9	61	83	82
бивуак	s	0.4	21	61	23
бигуди	s	1.9	51	78	88
биде	s	0.6	24	76	32
бидон	s	3.4	65	86	152
бидончик	s	0.5	30	82	36
биение	s	1.9	81	91	139
биеннале	s	1.1	32	77	42
бижутерия	s	1.0	49	87	74
бизнес	s	136.2	100	91	4140
бизнесмен	s	29.5	96	92	1446
бизон	s	1.4	41	58	53
бикини	s	1.3	46	81	65
бикс	s	0.5	18	66	18
билет	s	75.4	100	95	2073
билетер	s	0.8	33	77	42
билетерша	s	1.2	35	78	52
билетик	s	2.6	68	82	142
биллборд	s	0.5	15	45	26
бильярд	s	4.8	85	86	226
бимс	s	0.5	5	10	5
биндюжник	s	0.7	19	66	25
бинокль	s	10.6	91	88	343
бином	s	0.6	34	80	38
бинт	s	7.6	85	88	293
биограф	s	2.6	68	88	141
биография	s	27.4	100	94	1216
биолог	s	7.4	89	81	292
биология	s	15.4	93	82	538
биомасса	s	1.7	36	71	63
биополе	s	1.0	37	76	43
биоритм	s	0.5	21	65	25
биосинтез	s	1.2	13	30	23
биосфера	s	4.0	48	58	99
биоток	s	0.6	27	74	33
биотоп	s	0.5	9	29	11
биофак	s	0.7	38	84	50
биофизик	s	0.4	19	70	21
биофизика	s	1.1	36	74	52
биохимик	s	1.0	40	79	58
биохимия	s	1.7	53	84	102
биоценоз	s	1.3	16	49	38
биржа	s	14.8	91	87	641
бирка	s	1.9	62	87	114
бирюза	s	0.8	48	86	60
бирюк	s	3.3	28	42	34
бирюлька	s	0.5	30	81	35
бисер	s	3.2	82	91	212
бисеринка	s	0.4	26	80	34
бисквит	s	0.8	41	84	52
бистро	s	1.1	40	82	58
бита	s	1.3	56	84	83
битва	s	22.8	100	94	1035
битл	s	0.9	28	62	35
битник	s	0.4	20	69	20
биток	s	0.4	13	58	17
биточек	s	0.5	25	79	26
битум	s	1.2	33	73	44
битье	s	1.8	71	88	130
битюг	s	0.7	31	80	41
бифштекс	s	2.4	69	86	127
бицепс	s	1.6	59	87	106
благо	s	38.0	100	94	1763
благовест	s	0.8	30	75	39
благодаря	pr	94.5	100	94	4820
благодать	s	12.8	95	72	577
благость	s	1.1	50	80	86
блажь	s	2.0	77	90	142
бланк	s	10.7	100	92	522
блат	s	3.6	81	90	199
блатарь	s	1.6	26	66	29
блатной	s	3.3	60	81	98
блевотина	s	1.1	46	85	83
бледность	s	2.4	68	88	163
блейзер	s	0.4	23	78	27
блеск	s	29.7	99	95	1211
блесна	s	1.5	45	78	65
блестка	s	2.9	80	90	189
блеф	s	2.1	69	86	123
ближний	s	9.9	97	79	572
близ	pr	10.6	97	89	501
близкие	s	23.6	100	95	1326
близнец	s	10.6	93	90	476
близость	s	26.4	99	93	1354
блик	s	5.4	88	91	312
блин	s	12.8	92	82	569
блиндаж	s	5.1	63	76	103
блинчик	s	2.1	57	78	87
блиц	s	1.3	50	84	81
блицкриг	s	0.6	32	81	42
блок	s	73.7	99	91	2379
блокада	s	7.3	99	92	367
блокадник	s	0.5	22	73	31
блокнот	s	12.8	92	91	493
блокнотик	s	1.1	49	87	79
блокпост	s	2.4	48	82	105
блондин	s	4.6	86	87	214
блондинка	s	12.5	92	90	459
блоха	s	4.3	85	89	241
блуд	s	2.2	59	71	102
блудница	s	1.4	46	81	76
блуждание	s	1.5	65	89	119
блуза	s	1.8	56	75	88
блузка	s	5.9	80	89	281
блюдечко	s	3.5	78	90	239
блюдо	s	31.3	99	94	1200
блюдце	s	5.3	87	89	295
блюз	s	2.0	58	85	99
блядство	s	0.5	27	77	37
блядь	s	6.2	67	85	211
бляха	s	1.9	66	87	115
бляшка	s	1.9	57	81	92
бобби	s	2.1	44	69	70
бобер	s	2.6	64	76	96
бобик	s	1.2	41	83	62
бобина	s	0.6	33	80	37
бобрик	s	0.5	29	80	34
бобыль	s	1.0	41	80	58
богатей	s	1.5	56	85	104
богатство	s	38.1	99	94	1726
богатырь	s	10.3	96	73	365
богач	s	7.6	96	93	464
богема	s	3.7	71	88	199
богиня	s	8.1	92	89	308
богомол	s	0.5	19	56	20
богомолец	s	1.3	40	76	59
богоносец	s	0.6	21	60	37
богослов	s	7.4	75	68	288
бодрость	s	5.9	90	92	364
бодун	s	0.9	37	81	48
бодяга	s	1.1	47	86	78
боевик	s	31.2	90	83	902
боезапас	s	1.0	40	83	59
боезаряд	s	0.6	23	74	30
боек	s	0.7	28	76	35
боеприпас	s	12.7	91	85	452
боец	s	41.5	98	92	1034
боженька	s	0.9	40	84	59
божество	s	9.6	93	79	395
божница	s	0.4	23	77	25
божок	s	1.0	44	83	65
божоле	s	0.5	16	51	17
бойкот	s	2.4	54	76	117
бойлер	s	0.5	21	73	23
бойлерная	s	0.5	15	52	15
бойница	s	1.3	51	85	79
бойня	s	3.4	88	90	202
бойскаут	s	0.4	19	74	22
бойфренд	s	0.8	30	74	40
бокал	s	26.1	96	92	708
боковина	s	0.9	52	88	64
бокс	s	12.5	99	89	488
боксер	s	5.3	88	91	279
боксит	s	1.6	28	62	40
болван	s	5.4	74	87	229
болванка	s	1.5	63	84	91
болванчик	s	0.6	38	84	53
болгарин	s	4.9	72	74	149
болгарка	s	0.5	23	76	31
более	num	179.2	100	93	8296
болезнь	s	109.6	100	96	3064
болельщик	s	12.7	85	89	596
болеро	s	0.9	28	68	33
болид	s	1.9	44	80	91
болонка	s	1.1	48	83	65
болонья	s	1.2	59	87	80
болото	s	25.3	100	93	907
болотце	s	1.2	53	87	75
болт	s	5.1	88	87	243
болтанка	s	0.4	25	79	32
болтик	s	0.9	15	16	15
болтовня	s	8.4	95	93	467
болтун	s	3.2	69	83	185
болтушка	s	0.6	38	85	43
боль	s	113.3	100	95	2655
больная	s	7.8	88	81	289
больница	s	96.6	100	95	2365
больничка	s	1.1	41	77	51
больной	s	93.4	100	82	1722
большак	s	2.1	38	53	49
больше	num	218.7	100	97	7512
большевик	s	32.6	99	91	763
большее	s	2.0	81	92	164
болячка	s	3.2	89	93	226
бомба	s	35.8	100	91	1028
бомбардир	s	0.9	34	81	59
бомбежка	s	7.0	91	89	293
бомбочка	s	0.7	33	80	37
бомж	s	14.0	91	85	454
бомжатник	s	0.4	11	32	11
бомонд	s	1.4	62	89	111
бона	s	0.5	16	45	20
бондарь	s	0.9	28	54	37
бонза	s	0.6	43	87	55
бонитет	s	1.4	14	60	33
бонна	s	0.5	27	81	32
бонсай	s	0.8	17	50	25
бонус	s	1.9	51	81	112
бордель	s	2.5	68	88	146
бордо	s	1.6	63	88	106
бордюр	s	3.4	80	85	199
борение	s	1.2	39	71	76
борец	s	15.3	100	93	820
боржом	s	0.6	23	75	30
боржоми	s	1.4	57	85	77
борзая	s	1.2	52	82	70
бормашина	s	0.6	32	81	39
бормотуха	s	0.6	32	82	39
боров	s	1.6	48	86	96
боровик	s	1.5	45	77	63
борода	s	31.7	99	92	967
бородавка	s	1.9	64	87	108
бородач	s	3.1	72	84	135
бороденка	s	1.2	42	83	73
бородка	s	7.2	90	91	356
борозда	s	5.7	87	60	191
бороздка	s	1.4	50	77	73
борок	s	0.7	19	68	23
борона	s	1.0	43	81	56
борт	s	46.9	100	93	1316
бортик	s	2.4	64	83	116
